"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"122",111950,"BR","NATIVA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SP-BR-RJ-BR-SC-BR-RS"
"123",114894,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-RS-BR-SP-BR-DF"
"124",114896,"BR","NATURALIZADA","Não endemica/Cerrado","BR-SP-BR-MG-BR-PE-BR-BA-BR-AL-BR-DF"
"125",16072,"BR","NATURALIZADA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pampa-Não endemica/Pantanal","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL-BR-TO-BR-RR-BR-RO-BR-PA-BR-AP-BR-AC-BR-MT-BR-MS-BR-GO-BR-DF"
"126",5514,"BR","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-PB-BR-BA-BR-MS-BR-GO-BR-DF"
"127",94879,"BR",NA,"/Cerrado-/Mata Atlântica","BR-SP-BR-PI-BR-PE"
"128",104151,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-BA-BR-SP-BR-RJ-BR-SC-BR-RS-BR-PR"
"129",15953,"BR","NATURALIZADA","Não endemica/Pampa","BR-BA-BR-PR-BR-SC-BR-RS"
"130",112121,"BR","NATURALIZADA","Não endemica/Pampa","BR-RS"
"131",112126,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pampa","BR-PR-BR-SC-BR-SP-BR-RS"
"132",16350,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-PR-BR-MG-BR-SP-BR-RJ-BR-SC-BR-BA"
"133",114892,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP-BR-PR"
"134",116308,"BR","NATURALIZADA","Não endemica/Cerrado","BR-MG-BR-BA"
"135",111826,"BR","NATURALIZADA","Não endemica/Pampa","BR-SC-BR-RS"
"136",112275,"BR","NATURALIZADA","Não endemica/Pampa","BR-RS"
"137",112096,"BR","NATURALIZADA","Não endemica/","BR-RS"
"138",21886,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SC-BR-RS-BR-PR"
"139",124437,"BR","NATIVA","Não endemica/","NA"
"140",80684,"BR","NATIVA","Não endemica/Amazônia","BR-AM"
"141",104138,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-PR-BR-MG-BR-SP-BR-RJ-BR-SC-BR-RS"
"142",39813,"BR","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-RJ"
"143",94000,"BR",NA,NA,"BR-RJ-BR-MA-BR-PA-BR-AM-BR-AC-BR-GO"
"144",97959,"BR","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pantanal","BR-MG-BR-PI-BR-PE-BR-CE-BR-BA-BR-MT-BR-MS-BR-GO"
"145",94001,"BR",NA,NA,"BR-MG-BR-GO"
"146",22405,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pantanal","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL-BR-TO-BR-RR-BR-RO-BR-PA-BR-AP-BR-AM-BR-AC-BR-MT-BR-MS-BR-GO-BR-DF"
"147",137467,"BR",NA,"/Mata Atlântica","BR-PE"
"148",1757,"BR","NATIVA","Endemica/Cerrado","BR-MG-BR-BA"
"149",80541,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Mata Atlântica","BR-PA-BR-SP-BR-RJ-BR-ES-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL"
"150",22241,"BR","CULTIVADA","Não endemica/","NA"
"151",22240,"BR","NATURALIZADA","Não endemica/Amazônia","NA"
