"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie"
"74","Euphorbiaceae","Croton sacaquinha Croizat","Croton sacaquinha Croizat",35921,"Euphorbiaceae","Croton sacaquinha Croizat",35921,"Sacaquinha-PORTUGUES-Norte","LFB","name ok","","Croton sacaquinha"
"75","Euphorbiaceae","Croton vulnerarius Baill.","Croton vulnerarius Baill.",35971,"Euphorbiaceae","Croton vulnerarius Baill.",35971,NA,"LFB","name ok","","Croton vulnerarius"
"76","Euphorbiaceae","Gymnanthes gaudichaudii Müll. Arg.","Gymnanthes gaudichaudii Müll. Arg.",25530,"Euphorbiaceae","Gymnanthes gaudichaudii Müll. Arg.",25530,"Inguiço-PORTUGUES-Nordeste","LFB","name ok","","Gymnanthes gaudichaudii"
"77","Euphorbiaceae","Joannesia heveoides Ducke","Joannesia heveoides Ducke",36120,"Euphorbiaceae","Joannesia heveoides Ducke",36120,"'castanha-de-arara'-PORTUGUES-Norte/AM","LFB","name ok","","Joannesia heveoides"
"78","Euphorbiaceae","Mabea glaziovii Pax & K.Hoffm.","Mabea glaziovii Pax & K.Hoffm.",17588,"Euphorbiaceae","Mabea glaziovii Pax & K.Hoffm.",17588,NA,"LFB","name ok","","Mabea glaziovii"
"79","Euphorbiaceae","Sapium sellowianum (Müll.Arg.) Huber","Sapium sellowianum (Müll.Arg.) Huber",17666,"Euphorbiaceae","Sapium sellowianum (Müll.Arg.) Huber",17666,NA,"LFB","name ok","","Sapium sellowianum"
"80","Euphorbiaceae","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.",17677,"Euphorbiaceae","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.",17677,"Pau-de-leite-PORTUGUES-NE/Burra-leiteira-da-mata-PORTUGUES-NE/Leiteiro-PORTUGUES-NE/Leiteira-PORTUGUES-NE/Murta-PORTUGUES-NE","LFB","name ok","","Sebastiania jacobinensis"
"81","Euphorbiaceae","Stillingia loranthacea (Müll. Arg.) Pax","Stillingia loranthacea (Müll. Arg.) Pax",130757,"Euphorbiaceae","Stillingia loranthacea (Müll. Arg.) Pax",130757,NA,"LFB","name ok","","Stillingia loranthacea"
"82","Euphorbiaceae","Stillingia oppositifolia Baill. ex Müll.Arg.","Stillingia oppositifolia Baill. ex Müll.Arg.",36246,"Euphorbiaceae","Stillingia oppositifolia Baill. ex Müll.Arg.",36246,NA,"LFB","name ok","","Stillingia oppositifolia"
"83","Euphorbiaceae","Tetrorchidium parvulum Müll. Arg.","Tetrorchidium parvulum Müll. Arg.",25576,"Euphorbiaceae","Tetrorchidium parvulum Müll. Arg.",25576,NA,"LFB","name ok","","Tetrorchidium parvulum"
"84","Fabaceae","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes",82545,"Fabaceae","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes",82545,NA,"LFB","name ok","","Abarema campestris"
"85","Fabaceae","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",17978,"Fabaceae","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",17978,NA,"LFB","name ok","","Abarema langsdorffii"
"86","Fabaceae","Abarema villosa Iganci & M.P.Morim","Abarema villosa Iganci & M.P.Morim",100917,"Fabaceae","Abarema villosa Iganci & M.P.Morim",100917,NA,"LFB","name ok","","Abarema villosa"
"87","Fabaceae","Acosmium lentiscifolium Schott","Acosmium lentiscifolium Schott",29405,"Fabaceae","Acosmium lentiscifolium Schott",29405,"murta-PORTUGUES-sudeste/osso-de-burro-PORTUGUES-sudeste","LFB","name ok","","Acosmium lentiscifolium"
"88","Fabaceae","Bauhinia bombaciflora Ducke","Bauhinia bombaciflora Ducke",78513,"Fabaceae","Bauhinia bombaciflora Ducke",78513,NA,"LFB","name ok","","Bauhinia bombaciflora"
"89","Fabaceae","Bauhinia grandifolia (Bong.) Steud.","Bauhinia grandifolia (Bong.) Steud.",82669,"Fabaceae","Bauhinia grandifolia (Bong.) Steud.",82669,NA,"LFB","name ok","","Bauhinia grandifolia"
"90","Fabaceae","Bauhinia longipedicellata Ducke","Bauhinia longipedicellata Ducke",78523,"Fabaceae","Bauhinia longipedicellata Ducke",78523,NA,"LFB","name ok","","Bauhinia longipedicellata"
