"","especies","use","url"
"243","Joannesia heveoides","use","http://tropical.theferns.info/viewtropical.php?id=Joannesia+heveoides"
"244","Kerianthera longiflora","",""
"245","Lacistema serrulatum","",""
"246","Lacmellea bahiensis","",""
"247","Lacmellea pauciflora","",""
"248","Ladenbergia chapadensis","",""
"249","Lavoisiera nervulosa","",""
"250","Leandra cogniauxii","",""
"251","Leandra fallacissima","",""
"252","Leandra lancifolia","",""
"253","Leandra pennipilis","",""
"254","Leandra pilonensis","",""
"255","Leandra umbellata","",""
"256","Leptolobium bijugum","",""
"257","Leptolobium brachystachyum","",""
"258","Leptolobium multijugum","",""
"259","Licania nitida","",""
"260","Lonchocarpus praecox","",""
"261","Luetzelburgia amazonica","",""
"262","Luetzelburgia neurocarpa","",""
"263","Luetzelburgia purpurea","",""
"264","Lychnophora rupestris","",""
"265","Lychnophora staavioides","",""
"266","Mabea glaziovii","",""
"267","Macairea theresiae","",""
"268","Machaerium caratinganum","",""
"269","Machaerium incorruptibile","use","http://tropical.theferns.info/viewtropical.php?id=Machaerium+incorruptibile"
"270","Machaerium ovalifolium","",""
"271","Macrocarpaea glaziovii","",""
"272","Macrolobium brevense","",""
"273","Macrolobium conjunctum","",""
"274","Macrolobium duckeanum","",""
"275","Macrolobium latifolium","",""
"276","Macrolobium rigidum","",""
"277","Macrolobium urupaense","",""
"278","Macropeplus dentatus","",""
"279","Marlierea polygama","",""
"280","Marlierea teuscheriana","",""
"281","Matayba livescens Souza","",""
"282","Matayba mollis","",""
"283","Meriania calophylla","",""
"284","Meriania claussenii","",""
"285","Meriania paniculata","",""
"286","Merianthera sipolisii","",""
"287","Miconia brunnea","",""
"288","Miconia formosa","",""
"289","Miconia goldenbergiana","",""
"290","Miconia irwinii","",""
"291","Miconia nordestina","",""
"292","Miconia tentaculifera","",""
"293","Miconia urophylla","",""
"294","Mimosa adenotricha","",""
"295","Mimosa bispiculata","",""
"296","Mimosa capito","",""
"297","Mimosa dichroa","",""
"298","Mimosa dominarum","",""
"299","Mimosa gardneri","",""
"300","Mimosa hebecarpa","",""
"301","Mimosa laticifera","use","http://tropical.theferns.info/viewtropical.php?id=Mimosa+laticifera"
"302","Mimosa neonitens","",""
"303","Mimosa pteridifolia","",""
"304","Mimosa rheiptera","",""
"305","Mimosa schomburgkii","",""
"306","Mimosa sericantha","",""
"307","Mimosa sobralii","",""
"308","Mimosa urandiensis","",""
"309","Mollia burchellii","",""
"310","Mollinedia longifolia","",""
"311","Monteverdia ardisiifolia","",""
"312","Monteverdia cestrifolia","",""
"313","Monteverdia glaucescens","",""
"314","Monteverdia littoralis","",""
"315","Monteverdia macrophylla","",""
"316","Monteverdia rigida","",""
"317","Mora paraensis","use","http://tropical.theferns.info/viewtropical.php?id=Mora+paraensis"
"318","Mouriri arborea","",""
"319","Mouriri cearensis","",""
"320","Mouriri chamissoana","",""
"321","Muellera laticifera","",""
"322","Muellera nitens","",""
"323","Myrceugenia acutata","",""
"324","Myrceugenia acutiflora","",""
"325","Myrceugenia cucullata","",""
"326","Myrceugenia mesomischa","",""
"327","Myrcia eugeniopsoides","",""
"328","Myrcia ferruginosa","",""
"329","Myrcia multipunctata","",""
"330","Myrcia vellozoi","",""
"331","Myrciaria disticha","use","http://tropical.theferns.info/viewtropical.php?id=Myrciaria+disticha"
"332","Myrciaria ferruginea","",""
"333","Myrciaria glomerata","use","http://tropical.theferns.info/viewtropical.php?id=Myrciaria+glomerata"
"334","Myrciaria guaquiea","use","http://tropical.theferns.info/viewtropical.php?id=Myrciaria+guaquiea"
"335","Myrciaria pilosa","",""
"336","Myrciaria strigipes","use","http://tropical.theferns.info/viewtropical.php?id=Myrciaria+strigipes"
"337","Myrocarpus leprosus","",""
"338","Myrsine leuconeura","",""
"339","Myrsine rubra","",""
"340","Nectandra leucantha","",""
"341","Neomitranthes warmingiana","",""
"342","Neoraputia trifoliata","",""
"343","Ocotea arenicola","",""
"344","Ocotea argentea","",""
"345","Ocotea insignis","",""
"346","Ocotea kostermanniana","",""
"347","Ocotea microbotrys","",""
"348","Ocotea montana","",""
"349","Ocotea oppositifolia","",""
"350","Ocotea pluridomatiata","",""
"351","Ocotea pulchra","",""
"352","Ocotea teleiandra","",""
"353","Ocotea tenuiflora","",""
"354","Ocotea urbaniana","",""
"355","Ocotea venulosa","",""
"356","Ocotea villosa","",""
"357","Ormosia froesii","",""
"358","Ormosia limae","",""
"359","Ormosia minor","",""
"360","Ormosia timboensis","",""
"361","Ouratea multiflora","",""
"362","Ouratea polygyna","",""
"363","Ouratea xerophila","",""
"364","Palicourea apiculata","",""
"365","Palicourea fissistipula","",""
"366","Palicourea forsteronioides","",""
"367","Palicourea malaneoides","",""
"368","Palicourea minutiflora","",""
"369","Panurea bowdichioides","",""
"370","Paramachaerium krukovii","",""
"371","Parapiptadenia blanchetii","",""
"372","Paubrasilia echinata","use","http://tropical.theferns.info/viewtropical.php?id=Paubrasilia+echinata"
"373","Pavonia calyculosa","",""
"374","Pavonia makoyana","",""
"375","Peltogyne excelsa","use","http://tropical.theferns.info/viewtropical.php?id=Peltogyne+excelsa"
"376","Peltogyne micrantha","",""
"377","Pera furfuracea","",""
"378","Persea alba","",""
"379","Persea aurata","",""
"380","Persea caesia","",""
"381","Phyllanthus riedelianus","",""
"382","Picramnia excelsa","",""
"383","Pilocarpus grandiflorus","",""
"384","Pilocarpus sulcatus","",""
"385","Piptadenia loefgreniana","",""
"386","Piptadenia macradenia","",""
"387","Piptocarpha axillaris","use","http://tropical.theferns.info/viewtropical.php?id=Piptocarpha+axillaris"
"388","Piptocarpha densifolia","",""
"389","Piptocarpha organensis","",""
"390","Platycarpum egleri","",""
"391","Platycarpum froesii","",""
"392","Pleroma candolleanum","",""
"393","Pleroma fissinervium","",""
"394","Poecilanthe grandiflora","",""
"395","Poecilanthe itapuana","use","http://tropical.theferns.info/viewtropical.php?id=Poecilanthe+itapuana"
"396","Protium widgrenii","",""
"397","Pseudobombax petropolitanum","",""
"398","Psychotria alto-macahensis","",""
"399","Psychotria glaziovii","",""
"400","Psychotria krukovii","",""
"401","Psychotria lagoensis","",""
"402","Psychotria subspathulata","",""
"403","Pterocarpus monophyllus","",""
"404","Pterocarpus ternatus","",""
"405","Pterodon apparicioi","",""
"406","Pterygota brasiliensis","",""
"407","Ptilochaeta glabra","",""
"408","Qualea ingens","use","http://tropical.theferns.info/viewtropical.php?id=Qualea+ingens"
"409","Quararibea ochrocalyx","",""
"410","Ramisia brasiliensis","use","http://tropical.theferns.info/viewtropical.php?id=Ramisia+brasiliensis"
"411","Rauvolfia atlantica","",""
"412","Rauvolfia capixabae","",""
"413","Rauvolfia pruinosifolia","",""
"414","Ravenia infelix","",""
"415","Ravenia polygalaecalyx","",""
"416","Remijia asperula","",""
"417","Remijia physophora","",""
"418","Retiniphyllum kuhlmannii","",""
"419","Roupala longepetiolata","",""
"420","Rudgea agresteophila Bruniera","",""
"421","Rudgea coriacea","",""
"422","Rudgea jacobinensis","",""
"423","Rudgea malpighiacea","",""
"424","Rudgea mouririoides","",""
"425","Rudgea nodosa","",""
"426","Rudgea obtusa","",""
"427","Rudgea recurva","",""
"428","Sapium sellowianum","",""
"429","Schefflera burchellii","",""
"430","Schefflera longipetiolata","use","http://tropical.theferns.info/viewtropical.php?id=Schefflera+longipetiolata"
"431","Schefflera selloi","",""
"432","Schradera brasiliensis","",""
"433","Sebastiania jacobinensis","",""
"434","Senegalia cearensis","",""
"435","Senegalia giganticarpa","",""
"436","Senegalia harleyi","",""
"437","Senegalia incerta","",""
"438","Senegalia latifoliola","",""
"439","Senegalia piauhiensis","",""
"440","Senegalia ricoae","",""
"441","Senna reniformis","",""
"442","Simira pilosa","",""
"443","Siparuna cymosa","",""
"444","Siphoneugena kiaerskoviana","",""
"445","Solanum castaneum","",""
"446","Solanum falciforme","",""
"447","Solanum sellowianum","",""
"448","Sphinctanthus acutilobus","",""
"449","Stachyarrhena acutiloba","",""
"450","Stachyarrhena harleyi","",""
"451","Staminodianthus rosae","",""
"452","Stephanopodium blanchetianum","use","http://tropical.theferns.info/viewtropical.php?id=Stephanopodium+blanchetianum"
"453","Stillingia loranthacea","",""
"454","Stillingia oppositifolia","",""
"455","Stryphnodendron duckeanum","",""
"456","Styrax latifolius","",""
"457","Styrax pedicellatus","",""
"458","Swartzia alagoensis","",""
"459","Swartzia arenophila","",""
"460","Swartzia arumateuana","",""
"461","Swartzia corrugata","",""
"462","Swartzia fimbriata","",""
"463","Swartzia longistipitata","use","http://tropical.theferns.info/viewtropical.php?id=Swartzia+longistipitata"
"464","Swartzia oblata","use","http://tropical.theferns.info/viewtropical.php?id=Swartzia+oblata"
"465","Swartzia parvipetala","",""
"466","Swartzia pilulifera","",""
"467","Swartzia polita","",""
"468","Swartzia psilonema","",""
"469","Symplocos nitidiflora","",""
"470","Symplocos pentandra","",""
"471","Symplocos platyphylla","",""
"472","Symplocos pustulosa","",""
"473","Tachigali goeldiana","",""
"474","Tachigali rubiginosa","use","http://tropical.theferns.info/viewtropical.php?id=Tachigali+rubiginosa"
"475","Tapura lanceolata","",""
"476","Terminalia eichleriana","",""
"477","Terminalia mameluco","use","http://tropical.theferns.info/viewtropical.php?id=Terminalia+mameluco"
"478","Terminalia phaeocarpa","",""
"479","Tetrorchidium parvulum","",""
"480","Tibouchina barnebyana","",""
"481","Tibouchina canescens","",""
"482","Tibouchina francavillana","",""
"483","Tibouchina regnellii","",""
"484","Ticorea froesii","",""
"485","Toulicia crassifolia","",""
"486","Toulicia subsquamulata","use","http://tropical.theferns.info/viewtropical.php?id=Toulicia+subsquamulata"
"487","Trembleya pentagona","",""
"488","Unonopsis renatoi","",""
"489","Vantanea bahiaensis","use","http://tropical.theferns.info/viewtropical.php?id=Vantanea+bahiaensis"
"490","Virola officinalis","use","http://tropical.theferns.info/viewtropical.php?id=Virola+officinalis"
"491","Vismia atlantica","",""
"492","Vismia cauliflora","",""
"493","Vismia magnoliifolia","",""
"494","Vismia micrantha","",""
"495","Vitex mexiae","",""
"496","Vitex spongiocarpa","",""
"497","Vochysia discolor","",""
"498","Vochysia lucida","",""
"499","Vochysia oppugnata","use","http://tropical.theferns.info/viewtropical.php?id=Vochysia+oppugnata"
"500","Vochysia saldanhana","",""
"501","Ximenia coriacea","",""
"502","Zanthoxylum djalma-batistae","",""
"503","Zanthoxylum gardneri","",""
"504","Zanthoxylum kleinii","use","http://tropical.theferns.info/viewtropical.php?id=Zanthoxylum+kleinii"
"505","Zanthoxylum nemorale","",""
"506","Zanthoxylum retusum","",""
"507","Ziziphus platyphylla","",""
"508","Ziziphus undulata","",""
