"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"1","Ephedranthus pisocarpus R.E.Fr.","Ephedranthus pisocarpus R.E.Fr.","Ephedranthus pisocarpus","3156205","3156205","SPECIES","ACCEPTED"
"2","Unonopsis renatoi Maas & Westra","Unonopsis renatoi Maas & Westra","Unonopsis renatoi","7902485","7902485","SPECIES","ACCEPTED"
"3","Aspidosperma camporum Müll.Arg.","Aspidosperma camporum Müll.Arg.","Aspidosperma camporum","3619201","3619201","SPECIES","ACCEPTED"
"4","Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum","3618738","3618738","SPECIES","ACCEPTED"
"5","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","Aspidosperma illustre Kuhlm. & Piraja","Aspidosperma illustre","3618312","3618312","SPECIES","ACCEPTED"
"6","Aspidosperma thomasii Marc.-Ferr.","Aspidosperma thomasii W.Marcondes-Ferreira","Aspidosperma thomasii","3616551","3616551","SPECIES","ACCEPTED"
"7","Lacmellea bahiensis J.F.Morales","Lacmellea bahiensis J.F.Morales","Lacmellea bahiensis","3618085","3618085","SPECIES","ACCEPTED"
"8","Lacmellea pauciflora (Kuhlm.) Markgr.","Lacmellea pauciflora (Kuhlm.) Markgr.","Lacmellea pauciflora","3617811","3617811","SPECIES","ACCEPTED"
"9","Rauvolfia atlantica Emygdio","Rauvolfia atlantica Emygdio","Rauvolfia atlantica","7535975","7535975","SPECIES","ACCEPTED"
"10","Rauvolfia capixabae I.Koch & Kin.-Gouv.","Rauvolfia capixabae I.Koch & Kin.-Gouv.","Rauvolfia capixabae","3618250","3618250","SPECIES","ACCEPTED"
"11","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.","Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.","Rauvolfia pruinosifolia","3616906","3616906","SPECIES","ACCEPTED"
"12","Ilex cerasifolia Reissek","Ilex cerasifolia Reissek","Ilex cerasifolia","7315938","7315938","SPECIES","ACCEPTED"
"13","Ilex euryaeformis Reissek","Ilex euryaeformis Reissek","Ilex euryaeformis","5534240","5534240","SPECIES","ACCEPTED"
"14","Ilex floribunda Reissek ex Maxim.","Ilex floribunda Reissek ex Maxim.","Ilex floribunda","7315796","7315796","SPECIES","ACCEPTED"
"15","Ilex lundii Warm.","Ilex lundii Warm.","Ilex lundii","7315893","7315893","SPECIES","ACCEPTED"
"16","Ilex sapotifolia Reissek","Ilex sapotifolia Reissek","Ilex sapotifolia","5533610","5533610","SPECIES","ACCEPTED"
"17","Ilex velutina Reissek","Ilex velutina Mart. ex Reissek","Ilex velutina","7315906","7315906","SPECIES","ACCEPTED"
"18","Dendropanax brasiliensis (Seem.) Frodin","Dendropanax brasiliensis (Seem.) Frodin","Dendropanax brasiliensis","3034981","3034981","SPECIES","ACCEPTED"
"19","Dendropanax denticulatus Fiaschi","Dendropanax denticulatus Fiaschi","Dendropanax denticulatus","3035193","3035193","SPECIES","ACCEPTED"
"20","Dendropanax nebulosus Fiaschi & Jung-Mend.","Dendropanax nebulosus Fiaschi & Jung-Mend.","Dendropanax nebulosus","3035179","3035179","SPECIES","ACCEPTED"
"21","Schefflera burchellii (Seem.) Frodin & Fiaschi","Schefflera burchellii (Seem.) Frodin & Fiaschi","Schefflera burchellii","3037977","3037977","SPECIES","ACCEPTED"
"22","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi","Schefflera longipetiolata","3037742","3037742","SPECIES","ACCEPTED"
"23","Schefflera selloi (Marchal) Frodin & Fiaschi","Schefflera selloi (Marchal) Frodin & Fiaschi","Schefflera selloi","3037722","3037722","SPECIES","ACCEPTED"
"24","Acritopappus prunifolius R.M.King & H.Rob.","Acritopappus prunifolius R.M.King & H.Rob.","Acritopappus prunifolius","3101611","3101611","SPECIES","ACCEPTED"
"25","Lychnophora rupestris Semir","Lychnophora rupestris Semir","Lychnophora rupestris","7885116","7885116","SPECIES","ACCEPTED"
"26","Lychnophora staavioides Mart.","Lychnophora staavioides Mart.","Lychnophora staavioides","5399413","5399413","SPECIES","ACCEPTED"
"27","Piptocarpha axillaris (Less.) Baker","Piptocarpha axillaris (Less.) Baker","Piptocarpha axillaris","5406642","5406642","SPECIES","ACCEPTED"
"28","Piptocarpha densifolia Dusén ex G. Lom. Sm.","Piptocarpha densifolia G.Lom.Sm.","Piptocarpha densifolia","5406613","5406613","SPECIES","ACCEPTED"
"29","Piptocarpha organensis Cabrera","Piptocarpha organensis Cabrera","Piptocarpha organensis","5406550","5406550","SPECIES","ACCEPTED"
"30","Cordia aberrans I.M.Johnst.","Cordia aberrans I.M.Johnst.","Cordia aberrans","5660353","5660353","SPECIES","ACCEPTED"
"31","Cordia anabaptista Cham.","Cordia anabaptista Cham.","Cordia anabaptista","5660265","5660265","SPECIES","ACCEPTED"
"32","Protium widgrenii Engl.","Protium widgrenii Engl.","Protium widgrenii","7286758","7286758","SPECIES","ACCEPTED"
"33","Cinnamodendron axillare Endl. ex Walp.","Cinnamodendron axillare Endl. ex Walp.","Cinnamodendron axillare","3877817","3877817","SPECIES","ACCEPTED"
"34","Monteverdia ardisiifolia (Reissek) Biral","Monteverdia ardisiifolia (Reissek) Biral","Monteverdia ardisiifolia","9757131","9757131","SPECIES","ACCEPTED"
"35","Monteverdia cestrifolia (Reissek) Biral","Monteverdia cestrifolia (Reissek) Biral","Monteverdia cestrifolia","9747611","9747611","SPECIES","ACCEPTED"
"36","Monteverdia glaucescens (Reissek) Biral","Monteverdia glaucescens (Reissek) Biral","Monteverdia glaucescens","9712285","9712285","SPECIES","ACCEPTED"
"37","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","Monteverdia littoralis (Carv.-Okano) Biral","Monteverdia littoralis","9691360","9691360","SPECIES","ACCEPTED"
"38","Monteverdia macrophylla (Mart.) Biral","Monteverdia macrophylla (Mart.) Biral","Monteverdia macrophylla","9773991","9773991","SPECIES","ACCEPTED"
"39","Monteverdia rigida (Mart.) Biral","Monteverdia rigida (Mart.) Biral","Monteverdia rigida","9797964","9797964","SPECIES","ACCEPTED"
"40","Couepia venosa Prance","Couepia venosa Prance","Couepia venosa","2984817","2984817","SPECIES","ACCEPTED"
"41","Licania nitida Hook.f.","Licania nitida Hook.","Licania nitida","2985373","2985373","SPECIES","ACCEPTED"
"42","Clusia dardanoi G.Mariz & Maguire","Clusia dardanoi G.Mariz & Maguire","Clusia dardanoi","5555508","5555508","SPECIES","ACCEPTED"
"43","Terminalia eichleriana Alwan & Stace","Terminalia eichleriana Alwan & Stace","Terminalia eichleriana","3699658","3699658","SPECIES","ACCEPTED"
"44","Terminalia mameluco Pickel","Terminalia mameluco Pickel","Terminalia mameluco","3699917","3699917","SPECIES","ACCEPTED"
"45","Terminalia phaeocarpa Eichler","Terminalia phaeocarpa Eichler","Terminalia phaeocarpa","3698769","3698769","SPECIES","ACCEPTED"
"46","Connarus detersus Planch.","Connarus detersus Planch.","Connarus detersus","3686496","3686496","SPECIES","ACCEPTED"
"47","Connarus nodosus Baker","Connarus nodosus Baker","Connarus nodosus","3687172","3687172","SPECIES","ACCEPTED"
"48","Stephanopodium blanchetianum Baill.","Stephanopodium blanchetianum Baill.","Stephanopodium blanchetianum","4195763","4195763","SPECIES","ACCEPTED"
"49","Tapura lanceolata (Ducke) Rizzini","Tapura lanceolata (Ducke) Rizzini","Tapura lanceolata","4195929","4195929","SPECIES","ACCEPTED"
"50","Diospyros akaraiensis A.C.Sm.","Diospyros akaraiensis A.C.Sm.","Diospyros guianensis","4069979","6056977","SPECIES","SYNONYM"
"51","Diospyros brasiliensis Mart. ex Miq.","Diospyros brasiliensis Mart. ex Miq.","Diospyros brasiliensis","4070363","4070363","SPECIES","ACCEPTED"
"52","Diospyros bullata A.C.Sm.","Diospyros bullata A.C.Sm.","Diospyros bullata","4070306","4070306","SPECIES","ACCEPTED"
"53","Diospyros coccolobifolia Mart. ex Miq.","Diospyros coccolobifolia Mart. ex Miq.","Diospyros coccolobifolia","4071176","4071176","SPECIES","ACCEPTED"
"54","Diospyros santaremnensis Sandwith","Diospyros santaremnensis Sandwith","Diospyros santaremnensis","4071165","4071165","SPECIES","ACCEPTED"
"55","Agarista glaberrima (Sleumer) Judd","Agarista glaberrima (Sleumer) Judd","Agarista glaberrima","5684783","5684783","SPECIES","ACCEPTED"
"56","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","Agarista revoluta (Sprengel) J.D.Hooker ex Niedenzu","Agarista revoluta","8243352","8243352","SPECIES","ACCEPTED"
"57","Gaylussacia salicifolia Sleumer","Gaylussacia salicifolia Sleumer","Gaylussacia salicifolia","7373080","7373080","SPECIES","DOUBTFUL"
"58","Erythroxylum affine A.St.-Hil.","Erythroxylum affine A.St.-Hil.","Erythroxylum affine","7657079","7657079","SPECIES","ACCEPTED"
"59","Erythroxylum andrei Plowman","Erythroxylum andrei Plowman","Erythroxylum andrei","3694026","3694026","SPECIES","ACCEPTED"
"60","Erythroxylum columbinum Mart.","Erythroxylum columbinum Mart.","Erythroxylum columbinum","3694417","3694417","SPECIES","ACCEPTED"
"61","Erythroxylum frangulifolium A.St.-Hil.","Erythroxylum frangulifolium A.St.-Hil.","Erythroxylum frangulifolium","3694275","3694275","SPECIES","ACCEPTED"
"62","Erythroxylum grandifolium Peyr.","Erythroxylum grandifolium Peyr.","Erythroxylum grandifolium","3694108","3694108","SPECIES","ACCEPTED"
"63","Erythroxylum hamigerum O.E.Schulz","Erythroxylum hamigerum O.E.Schulz","Erythroxylum hamigerum","3694053","3694053","SPECIES","ACCEPTED"
"64","Erythroxylum macrocalyx Mart.","Erythroxylum macrocalyx Mart.","Erythroxylum macrocalyx","3694037","3694037","SPECIES","ACCEPTED"
"65","Erythroxylum nobile O.E.Schulz","Erythroxylum nobile O.E.Schulz","Erythroxylum nobile","3694113","3694113","SPECIES","ACCEPTED"
"66","Erythroxylum ochranthum Mart.","Erythroxylum ochranthum Mart.","Erythroxylum ochranthum","3693980","3693980","SPECIES","ACCEPTED"
"67","Erythroxylum polygonoides Mart.","Erythroxylum polygonoides Mart.","Erythroxylum polygonoides","3694155","3694155","SPECIES","ACCEPTED"
"68","Erythroxylum splendidum Plowman","Erythroxylum splendidum Plowman","Erythroxylum splendidum","3694248","3694248","SPECIES","ACCEPTED"
"69","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","Actinostemon roselii L.Oliveira, A.L.Melo & M.F.Sales","Actinostemon roselii","8958303","8958303","SPECIES","ACCEPTED"
"70","Algernonia brasiliensis Baill.","Algernonia brasiliensis Baill.","Algernonia brasiliensis","3061275","3061275","SPECIES","ACCEPTED"
"71","Algernonia riedelii (Müll.Arg.) G.L.Webster","Algernonia riedelii (Müll.Arg.) G.L.Webster","Algernonia riedelii","3061288","3061288","SPECIES","ACCEPTED"
"72","Croton alchorneicarpus Croizat","Croton alchorneicarpus Croizat","Croton alchorneicarpus","3059844","3059844","SPECIES","ACCEPTED"
"73","Croton hemiargyreus Müll.Arg.","Croton hemiargyreus Müll.Arg.","Croton hemiargyreus","3060012","3060012","SPECIES","ACCEPTED"
"74","Croton sacaquinha Croizat","Croton sacaquinha Croizat","Croton sacaquinha","3058923","3058923","SPECIES","ACCEPTED"
"75","Croton vulnerarius Baill.","Croton vulnerarius Baill.","Croton vulnerarius","3058536","3058536","SPECIES","ACCEPTED"
"76","Gymnanthes gaudichaudii Müll. Arg.","Gymnanthes gaudichaudii Müll.Arg.","Gymnanthes gaudichaudii","3061223","3061223","SPECIES","ACCEPTED"
"77","Joannesia heveoides Ducke","Joannesia heveoides Ducke","Joannesia heveoides","3075092","3075092","SPECIES","ACCEPTED"
"78","Mabea glaziovii Pax & K.Hoffm.","Mabea glaziovii Pax & K.Hoffm.","Mabea glaziovii","3071851","3071851","SPECIES","ACCEPTED"
"79","Sapium sellowianum (Müll.Arg.) Huber","Sapium sellowianum (Müll.Arg.) Huber","Sapium sellowianum","9014414","5379911","SPECIES","SYNONYM"
"80","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.","Sebastiania jacobinensis Müll.Arg.","Sebastiania jacobinensis","5380638","5380638","SPECIES","ACCEPTED"
"81","Stillingia loranthacea (Müll. Arg.) Pax","Stillingia loranthacea (Müll.Arg.) Pax","Stillingia saxatilis","3055125","3055123","SPECIES","SYNONYM"
"82","Stillingia oppositifolia Baill. ex Müll.Arg.","Stillingia oppositifolia Müll.Arg.","Stillingia oppositifolia","3055129","3055129","SPECIES","ACCEPTED"
"83","Tetrorchidium parvulum Müll. Arg.","Tetrorchidium parvulum Müll.Arg.","Tetrorchidium parvulum","3062939","3062939","SPECIES","ACCEPTED"
"84","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes","Abarema campestris","2977811","2977811","SPECIES","ACCEPTED"
"85","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes","Abarema langsdorfii","3794970","2977823","SPECIES","SYNONYM"
"86","Abarema villosa Iganci & M.P.Morim","Abarema villosa Iganci & M.P.Morim","Abarema villosa","7768545","7768545","SPECIES","ACCEPTED"
"87","Acosmium lentiscifolium Schott","Acosmium lentiscifolium Schott","Acosmium lentiscifolium","2967003","2967003","SPECIES","ACCEPTED"
"88","Bauhinia bombaciflora Ducke","Bauhinia bombaciflora Ducke","Bauhinia bombaciflora","2952949","2952949","SPECIES","ACCEPTED"
"89","Bauhinia grandifolia (Bong.) Steud.","Bauhinia grandifolia (Bong.) Steud.","Bauhinia grandifolia","8366095","8366095","SPECIES","DOUBTFUL"
"90","Bauhinia longipedicellata Ducke","Bauhinia longipedicellata Ducke","Bauhinia longipedicellata","2953438","2953438","SPECIES","ACCEPTED"
"91","Bauhinia ovata (Bong.) Vogel","Bauhinia ovata Vogel","Bauhinia ovata","2953003","2953003","SPECIES","ACCEPTED"
"92","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista aspleniifolia","2949658","2949658","SPECIES","ACCEPTED"
"93","Chamaecrista blanchetii (Benth.) Conc. et al.","Chamaecrista blanchetii (Benth.) Conc., L.P.Queiroz & G.P.Lewis","Chamaecrista cytisoides","7654582","2950121","SPECIES","SYNONYM"
"94","Chamaecrista brachystachya (Benth.) Conc. et al.","Chamaecrista brachystachya (Benth.) Conc., L.P.Queiroz & G.P.Lewis","Chamaecrista cytisoides","3979644","2950121","SPECIES","SYNONYM"
"95","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc., L.P.Queiroz & G.P.Lewis","Chamaecrista confertiformis","3979433","3979433","SPECIES","ACCEPTED"
"96","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","Chamaecrista decora (H.S.Irwin & Barneby) Conc., L.P.Queiroz & G.P.Lewis","Chamaecrista cytisoides","3979345","2950121","SPECIES","SYNONYM"
"97","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","Chamaecrista duartei","2949970","2949970","SPECIES","ACCEPTED"
"98","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","Chamaecrista hedysaroides","2950666","2950666","SPECIES","ACCEPTED"
"99","Copaifera sabulicola J.Costa & L.P.Queiroz","Copaifera sabulicola J.A.S.Costa & L.P.Queiroz","Copaifera sabulicola","3932012","3932012","SPECIES","ACCEPTED"
"100","Dalbergia acuta Benth.","Dalbergia acuta Benth.","Dalbergia acuta","2968907","2968907","SPECIES","ACCEPTED"
"101","Dalbergia decipularis Rizzini & A.Mattos","Dalbergia decipularis Rizzini & A.Mattos","Dalbergia decipularis","2968679","2968679","SPECIES","ACCEPTED"
"102","Dalbergia glaucescens (Mart. ex Benth.) Benth.","Dalbergia glaucescens Benth.","Dalbergia glaucescens","2968371","2968371","SPECIES","ACCEPTED"
"103","Erythrina speciosa Andrews","Erythrina speciosa Andrews","Erythrina speciosa","5349528","5349528","SPECIES","ACCEPTED"
"104","Exostyles venusta Schott","Exostyles venusta Schott","Exostyles venusta","7626770","7626770","SPECIES","DOUBTFUL"
"105","Hymenaea altissima Ducke","Hymenaea altissima Ducke","Hymenaea courbaril","2950753","2950750","SPECIES","SYNONYM"
"106","Hymenaea aurea Y.T.Lee & Langenh.","Hymenaea aurea Y.T.Lee & Langenh.","Hymenaea aurea","2950772","2950772","SPECIES","ACCEPTED"
"107","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima","Hymenaea fariana R.D.Ribeiro, D.B.O.S.Cardoso & H.C.Lima","Hymenaea fariana","8397615","8397615","SPECIES","ACCEPTED"
"108","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","Hymenaea courbaril","7875279","2950750","SPECIES","SYNONYM"
"109","Hymenolobium alagoanum Ducke","Hymenolobium alagoanum Ducke","Hymenolobium alagoanum","2951898","2951898","SPECIES","ACCEPTED"
"110","Inga congesta T.D.Penn.","Inga congesta T.D.Penn.","Affonsea bullata","5357299","2965154","SPECIES","SYNONYM"
"111","Inga schinifolia Benth.","Inga schinifolia Benth.","Inga schinifolia","5357551","5357551","SPECIES","ACCEPTED"
"112","Leptolobium bijugum (Spreng.) Vogel","Leptolobium bijugum Vogel","Acosmium bijugum","5358423","2970527","SPECIES","SYNONYM"
"113","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","Acosmium brachystachyum","5633810","2970541","SPECIES","SYNONYM"
"114","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia purpurea","3974020","3974020","SPECIES","ACCEPTED"
"115","Machaerium incorruptibile (Vell.) Benth.","Machaerium incorruptibile Benth.","Machaerium incorruptibile","5355071","5355071","SPECIES","ACCEPTED"
"116","Machaerium ovalifolium Glaz. ex Rudd","Machaerium ovalifolium Glaz. ex Rudd","Machaerium ovalifolium","5355018","5355018","SPECIES","ACCEPTED"
"117","Macrolobium brevense Ducke","Macrolobium brevense Ducke","Macrolobium brevense","2948796","2948796","SPECIES","ACCEPTED"
"118","Macrolobium latifolium Vogel","Macrolobium latifolium Vogel","Macrolobium latifolium","2948811","2948811","SPECIES","ACCEPTED"
"119","Macrolobium rigidum R.S.Cowan","Macrolobium rigidum R.S.Cowan","Macrolobium rigidum","2948849","2948849","SPECIES","ACCEPTED"
"120","Mimosa adenotricha Benth.","Mimosa adenotricha Benth.","Mimosa adenotricha","2970259","2970259","SPECIES","ACCEPTED"
"121","Mimosa dichroa Barneby ex G.P.Lewis","Mimosa dichroa G.P.Lewis","Mimosa dichroa","2969783","2969783","SPECIES","ACCEPTED"
"122","Mimosa laticifera Rizzini & A.Mattos","Mimosa laticifera Rizzini & A.Mattos","Mimosa obovata","2970030","2970029","SPECIES","SYNONYM"
"123","Mimosa pteridifolia Benth.","Mimosa pteridifolia Benth.","Mimosa pteridifolia","2970164","2970164","SPECIES","ACCEPTED"
"124","Mimosa schomburgkii Benth.","Mimosa schomburgkii Benth.","Mimosa schomburgkii","2969499","2969499","SPECIES","ACCEPTED"
"125","Mimosa sericantha Benth.","Mimosa sericantha Benth.","Mimosa sericantha","2970275","2970275","SPECIES","ACCEPTED"
"126","Mora paraensis (Ducke) Ducke","Mora paraensis Ducke","Mora paraensis","5355418","5355418","SPECIES","ACCEPTED"
"127","Ormosia minor Vogel","Ormosia minor Vogel","Ormosia minor","5355553","5355553","SPECIES","ACCEPTED"
"128","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","Parapiptadenia blanchetii","2941627","2941627","SPECIES","ACCEPTED"
"129","Piptadenia macradenia Benth.","Piptadenia macradenia Benth.","Piptadenia macradenia","3975333","3975333","SPECIES","ACCEPTED"
"130","Poecilanthe grandiflora Benth.","Poecilanthe grandiflora Benth.","Poecilanthe falcata","2947786","2947784","SPECIES","SYNONYM"
"131","Poecilanthe itapuana G.P.Lewis","Poecilanthe itapuana G.P.Lewis","Poecilanthe itapuana","3912101","3912101","SPECIES","ACCEPTED"
"132","Pterodon apparicioi Pedersoli","Pterodon apparicioi Pedersoli","Pterodon emarginatus","5342613","5342608","SPECIES","SYNONYM"
"133","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro","Senegalia harleyi Seigler, Ebinger & P.G.Ribeiro","Senegalia harleyi","8411211","8411211","SPECIES","ACCEPTED"
"134","Senegalia piauhiensis (Benth.) Seigler & Ebinger","Senegalia piauhiensis (Benth.) Seigler & Ebinger","Senegalia piauhiensis","7655943","7655943","SPECIES","ACCEPTED"
"135","Senna reniformis (G.Don) H.S.Irwin & Barneby","Senna reniformis (G.Don) H.S.Irwin & Barneby","Senna reniformis","2957418","2957418","SPECIES","ACCEPTED"
"136","Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima","Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima","Diplotropis racemosa","8227310","5355640","SPECIES","SYNONYM"
"137","Swartzia arumateuana (R. S. Cowan) Torke & Mansano","Swartzia arumateuana (R.S.Cowan) Torke & Mansano","Swartzia flaemingii","8066295","5352013","SPECIES","SYNONYM"
"138","Swartzia corrugata Benth.","Swartzia corrugata Benth.","Swartzia corrugata","5351906","5351906","SPECIES","ACCEPTED"
"139","Swartzia longistipitata Ducke","Swartzia longistipitata Ducke","Swartzia longistipitata","5351977","5351977","SPECIES","ACCEPTED"
"140","Swartzia oblata R.S.Cowan","Swartzia oblata R.S.Cowan","Swartzia oblata","5351989","5351989","SPECIES","ACCEPTED"
"141","Swartzia parvipetala (R.S.Cowan) Mansano","Swartzia parvipetala (R.S.Cowan) Mansano","Swartzia multijuga","5616771","5352110","SPECIES","SYNONYM"
"142","Swartzia pilulifera Benth.","Swartzia pilulifera Benth.","Swartzia pilulifera","5351983","5351983","SPECIES","ACCEPTED"
"143","Swartzia polita (R.S.Cowan) Torke","Swartzia polita (R.S.Cowan) Torke","Swartzia flaemingii","5616754","5352013","SPECIES","SYNONYM"
"144","Swartzia psilonema Harms","Swartzia psilonema Harms","Swartzia flaemingii","5352017","5352013","SPECIES","SYNONYM"
"145","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","Tachigali goeldiana (Huber) L.F.Gomes da Silva & H.C.Lima","Sclerolobium goeldianum","3932319","2952600","SPECIES","SYNONYM"
"146","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","Sclerolobium paniculatum","3969384","2952587","SPECIES","SYNONYM"
"147","Macrocarpaea glaziovii Gilg","Macrocarpaea glaziovii Gilg","Macrocarpaea glaziovii","7269980","7269980","SPECIES","ACCEPTED"
"148","Humiriastrum mussungense Cuatrec.","Humiriastrum mussungense Cuatrec.","Humiriastrum mussungense","7890644","7890644","SPECIES","ACCEPTED"
"149","Vantanea bahiaensis Cuatrec.","Vantanea bahiaensis Cuatrec.","Vantanea bahiaensis","3649177","3649177","SPECIES","ACCEPTED"
"150","Vismia atlantica L. Marinho & M.V. Martins","Vismia atlantica L.Marinho & M.V.Martins","Vismia atlantica","8607017","8607017","SPECIES","ACCEPTED"
"151","Vismia cauliflora A.C.Sm.","Vismia cauliflora A.C.Sm.","Vismia cauliflora","3714517","3714517","SPECIES","ACCEPTED"
"152","Vismia magnoliifolia Cham. & Schltdl.","Vismia magnoliifolia Cham. & Schltdl.","Vismia magnoliifolia","3713795","3713795","SPECIES","ACCEPTED"
"153","Vismia micrantha A.St.-Hil.","Vismia micrantha A.St.-Hil.","Vismia micrantha","7745476","7745476","SPECIES","ACCEPTED"
"154","Lacistema serrulatum Mart.","Lacistema serrulatum Mart.","Lacistema serrulatum","3075385","3075385","SPECIES","ACCEPTED"
"155","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","Cyanocephalus lippioides","7809495","7809495","SPECIES","ACCEPTED"
"156","Vitex mexiae Moldenke","Vitex mexiae Moldenke","Vitex sellowiana","3904269","7309234","SPECIES","SYNONYM"
"157","Vitex spongiocarpa Ducke","Vitex spongiocarpa Ducke","Vitex sprucei","7309219","7309214","SPECIES","SYNONYM"
"158","Aniba viridis Mez","Aniba viridis Mez","Aniba firmula","4180132","3034089","SPECIES","SYNONYM"
"159","Beilschmiedia emarginata (Meisn.) Kosterm.","Beilschmiedia emarginata (Meisn.) Kosterm.","Beilschmiedia emarginata","4177462","4177462","SPECIES","ACCEPTED"
"160","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","Beilschmiedia taubertiana","4182947","4182947","SPECIES","ACCEPTED"
"161","Cinnamomum glaziovii (Mez) Kosterm.","Cinnamomum glaziovii (Mez) Kosterm.","Aiouea glaziovii","4175665","9687122","SPECIES","SYNONYM"
"162","Cryptocarya micrantha Meisn.","Cryptocarya micrantha Meisn.","Cryptocarya micrantha","4183303","4183303","SPECIES","ACCEPTED"
"163","Cryptocarya riedeliana P.L.R.Moraes","Cryptocarya riedeliana P.L.R.Moraes","Cryptocarya riedeliana","4181855","4181855","SPECIES","ACCEPTED"
"164","Endlicheria glomerata Mez","Endlicheria glomerata Mez","Endlicheria glomerata","4176379","4176379","SPECIES","ACCEPTED"
"165","Nectandra leucantha Nees","Nectandra leucantha Nees","Nectandra leucantha","7830782","7830782","SPECIES","ACCEPTED"
"166","Ocotea arenicola L.C.S. Assis e Mello-Silva","Ocotea arenicola L.C.S.Assis & Mello-Silva","Ocotea arenicola","8181570","8181570","SPECIES","ACCEPTED"
"167","Ocotea argentea Mez","Ocotea argentea Mez","Ocotea argentea","4177560","4177560","SPECIES","ACCEPTED"
"168","Ocotea insignis Mez","Ocotea insignis Mez","Ocotea insignis","4180574","4180574","SPECIES","ACCEPTED"
"169","Ocotea kostermanniana Vattimo-Gil","Ocotea kostermanniana Vattimo-Gil","Ocotea kostermanniana","4180144","4180144","SPECIES","ACCEPTED"
"170","Ocotea microbotrys (Meisn.) Mez","Ocotea microbotrys Mez","Ocotea microbotrys","4178590","4178590","SPECIES","ACCEPTED"
"171","Ocotea montana (Meisn.) Mez","Ocotea montana Mez","Ocotea montana","4178352","4178352","SPECIES","ACCEPTED"
"172","Ocotea oppositifolia S.Yasuda","Ocotea oppositifolia S.Yasuda","Ocotea oppositifolia","4177437","4177437","SPECIES","ACCEPTED"
"173","Ocotea pluridomatiata A.Quinet","Ocotea pluridomatiata A.Quinet","Ocotea pluridomatiata","4176590","4176590","SPECIES","ACCEPTED"
"174","Ocotea pulchra Vattimo-Gil","Ocotea pulchra Vattimo-Gil","Ocotea pulchra","7701491","7701491","SPECIES","ACCEPTED"
"175","Ocotea teleiandra (Meisn.) Mez","Ocotea teleiandra (Meisn.) Mez","Ocotea teleiandra","4181788","4181788","SPECIES","ACCEPTED"
"176","Ocotea tenuiflora (Nees) Mez","Ocotea tenuiflora Mez","Ocotea tenuiflora","4181716","4181716","SPECIES","ACCEPTED"
