"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"367","Conchocarpus santosii Pirani & Kallunki","Conchocarpus santosii Pirani & Kallunki","Conchocarpus santosii","3835147","3835147","SPECIES","ACCEPTED"
"368","Esenbeckia decidua Pirani","Esenbeckia decidua Pirani","Esenbeckia decidua","5593115","5593115","SPECIES","ACCEPTED"
"369","Esenbeckia oligantha Kaastra","Esenbeckia oligantha Kaastra","Esenbeckia oligantha","5592925","5592925","SPECIES","ACCEPTED"
"370","Galipea congestiflora Pirani","Galipea congestiflora Pirani","Galipea congestiflora","3834874","3834874","SPECIES","ACCEPTED"
"371","Galipea grandifolia Engl.","Galipea grandifolia Engl.","Galipea grandifolia","3834735","3834735","SPECIES","ACCEPTED"
"372","Galipea laxiflora Engl.","Galipea laxiflora Engl.","Galipea laxiflora","3834613","3834613","SPECIES","ACCEPTED"
"373","Galipea revoluta Pirani","Galipea revoluta Pirani","Galipea revoluta","3834326","3834326","SPECIES","ACCEPTED"
"374","Helietta glaziovii (Engl.) Pirani","Helietta glaziovii (Engl.) Pirani","Helietta glaziovii","3837592","3837592","SPECIES","ACCEPTED"
"375","Hortia longifolia Spruce ex Engl.","Hortia longifolia Benth. ex Engl.","Hortia longifolia","5594675","5594675","SPECIES","ACCEPTED"
"376","Hortia neblinensis Maguire & B.M.Boom","Hortia neblinensis Maguire & B.M.Boom","Hortia neblinensis","5594660","5594660","SPECIES","ACCEPTED"
"377","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","Neoraputia trifoliata (Engl.) Emmerich ex Kallunki","Neoraputia trifoliata","7867437","7867437","SPECIES","ACCEPTED"
"378","Pilocarpus grandiflorus Engl.","Pilocarpus grandiflorus Engl.","Pilocarpus grandiflorus","7269562","7269562","SPECIES","ACCEPTED"
"379","Pilocarpus sulcatus Skorupa","Pilocarpus sulcatus Skorupa","Pilocarpus sulcatus","3836989","3836989","SPECIES","ACCEPTED"
"380","Ravenia infelix Vell.","Ravenia infelix Vell.","Ravenia infelix","5593665","5593665","SPECIES","ACCEPTED"
